"Dose","No Serum","PEG Serum","Untreated Serum"
0.00, 1814.4, 372.7, 1745.3, 
0.00, 3043.2, 350.1, 2470.0, 
0.00, 3857.1, 426.0, 1700.0, 
0.06, 2447.9, 628.3, 1919.2, 
0.06, 3320.9, 655.0, 1605.1, 
0.06, 3387.6, 700.0, 2796.0, 
0.12, 4887.8, 1701.8, 1929.7, 
0.12, 5171.2, 2589.4, 1537.3, 
0.12, 3370.7, 1117.1, 1692.7, 
0.25, 10255.6, 4114.6, 1149.1, 
0.25, 9431.8, 2761.5, 743.4, 
0.25, 10961.2, 1975.8, 948.5, 
0.50, 14538.8, 6074.3, 4471.9, 
0.50, 14214.3, 12273.9, 2772.1, 
0.50, 16934.5, 14240.9, 5782.3, 
1.00, 19719.8, 17889.9, 11588.7, 
1.00, 20801.4, 11685.7, 8249.5, 
1.00, 32740.7, 11342.4, 18481.5, 
2.00, 16453.8, 11843.5, 10433.5,  
2.00, 28793.8, 18320.7, 8181.0, 
2.00, 19148.5, 23580.6, 11104.0, 
4.00, 17967.0, 12380.0, 10020.0, 
4.00, 18768.6, 20039.0, 8448.5, 
4.00, 19946.9, 15135.6, 10482.8

